Unique_ID,Request_type,Start_time,Longitude,Latitude,Antenna_Height,AGL_ASL,Longitude_uncertainty,Latitude_uncertainty,Emission_class,Device_category,Device_type,PREFSENS,MaxMasterEIRP
3001,Specific,01/01/2014 00:01,-0.094985,51.508849,10,AGL,0,0,5,Master,A,,
3002,Specific,01/01/2014 00:01,-0.554708,51.689863,10,AGL,0,0,5,Master,A,,
3003,Specific,01/01/2014 00:01,-0.556093,51.600858,10,AGL,0,0,5,Master,A,,
3004,Specific,01/01/2014 00:01,-0.243979,51.515672,10,AGL,0,0,5,Master,A,,
3005,Specific,01/01/2014 00:01,-0.554708,51.509841,10,AGL,0,10,5,Master,A,,
3006,Specific,01/01/2014 00:01,-0.553996,51.530471,10,AGL,0,0,5,Master,A,,
3007,Specific,01/01/2014 00:01,-0.103358,51.511784,10,AGL,0,0,5,Master,B,,
3008,Specific,01/01/2014 00:01,-0.098344,51.513843,7.6,AGL,0,0,5,Master,B,,
3009,Specific,01/01/2014 00:01,-0.114086,51.503076,10,AGL,10,100,5,Master,B,,
3010,Specific,01/01/2014 00:01,-0.114086,51.503076,10,AGL,20,250,5,Master,A,,
3011,Specific,01/01/2014 00:01,-0.109788,51.515563,5,AGL,0,0,5,Master,A,,
3012,Specific,01/01/2014 00:01,-0.108423,51.513985,1.5,AGL,0,0,5,Master,A,,
3013,Specific,01/01/2014 00:01,-0.105456,51.509211,10,ASL,0,0,5,Master,A,,
3014,Specific,01/01/2014 00:01,-0.554566,51.689772,10,ASL,0,0,5,Master,A,,
3015,Specific,01/01/2014 00:01,-0.110788,51.518563,10,AGL,0,0,1,Master,A,,
3016,Specific,01/01/2014 00:01,-0.110788,51.518563,10,AGL,0,0,2,Master,A,,
3017,Specific,01/01/2014 00:01,-0.110788,51.518563,10,AGL,0,0,3,Master,A,,
3018,Specific,01/01/2014 00:01,-0.110788,51.518563,10,AGL,0,0,4,Master,A,,
3019,Specific,01/01/2014 00:01,-0.110788,51.518563,10,AGL,0,0,5,Master,B,,
3020,Specific,01/01/2014 00:01,-0.095241,51.508235,10,AGL,0,0,5,Master,B,,
3021,Specific,01/01/2014 00:01,-0.554855,51.689775,7.5,AGL,0,0,1,Master,B,,
3022,Specific,01/01/2014 00:01,-0.55456,51.689952,10,AGL,0,0,3,Master,A,,
3023,Specific,01/01/2014 00:01,-0.554855,51.689775,8,AGL,10,10,5,Master,A,,
3024,Generic,01/01/2014 00:01,-0.094985,51.508849,10,AGL,0,0,5,Master,A,,
3025,Generic,01/01/2014 00:01,-0.556093,51.600858,10,AGL,0,0,5,Master,A,,
3026,Generic,01/01/2014 00:01,-0.243979,51.515672,10,AGL,0,0,5,Master,A,,
3027,Generic,01/01/2014 00:01,-0.554708,51.509841,10,AGL,0,10,5,Master,A,,
3028,Generic,01/01/2014 00:01,-0.553996,51.530471,10,AGL,0,0,5,Master,A,,
3029,Generic,01/01/2014 00:01,-0.103358,51.511784,10,AGL,0,0,5,Master,B,,
3030,Generic,01/01/2014 00:01,-0.098344,51.513843,7.6,AGL,0,0,5,Master,B,-120,
3031,Generic,01/01/2014 00:01,-0.114086,51.503076,10,AGL,10,100,5,Master,B,,
3032,Generic,01/01/2014 00:01,-0.114086,51.503076,10,AGL,20,250,5,Master,A,-110,-16
3033,Generic,01/01/2014 00:01,-0.109788,51.515563,5,AGL,0,0,5,Master,A,,
3034,Generic,01/01/2014 00:01,-0.108423,51.513985,1.5,AGL,0,0,5,Master,A,,
3035,Generic,01/01/2014 00:01,-0.105456,51.509211,10,ASL,0,0,1,Master,A,,
3036,Generic,01/01/2014 00:01,-0.554566,51.689772,10,ASL,0,0,1,Master,A,-120,
3037,Generic,01/01/2014 00:01,-0.110788,51.518563,10,AGL,0,0,1,Master,A,-120,
3038,Generic,01/01/2014 00:01,-0.110788,51.518563,10,AGL,0,0,2,Master,A,-110,
3039,Generic,01/01/2014 00:01,-0.110788,51.518563,10,AGL,0,0,3,Master,A,-100,
3040,Generic,01/01/2014 00:01,-0.110788,51.518563,10,AGL,0,0,4,Master,A,,-19
3041,Generic,01/01/2014 00:01,-0.110788,51.518563,10,AGL,0,0,5,Master,B,,
3042,Generic,01/01/2014 00:01,-0.110788,51.518563,10,AGL,0,0,2,Master,B,,-16
3043,Generic,01/01/2014 00:01,-0.110788,51.518563,10,AGL,0,0,3,Master,B,,-19
3044,Generic,01/01/2014 00:01,-0.110788,51.518563,10,AGL,0,0,4,Master,B,-100,-16
3045,Generic,01/01/2014 00:01,-0.110788,51.518563,10,AGL,0,0,5,Master,B,-100,-19
3046,Generic,01/01/2014 00:01,-0.095241,51.508235,10,AGL,0,0,5,Master,B,-60,-19
3047,Generic,01/01/2014 00:01,-0.554855,51.689775,7.5,AGL,0,0,1,Master,B,-100,-60
