Assignment_ID,EquipmentType_ID,X_Coord,Y_Coord,Antenna_Height_metres,Frequency_MHz,Bandwidth_MHz,Start,Finish,Situation_ID
1353802,2,146363,529033,5,774.1,0.2,01/01/2014 00:00,31/12/2014 23:59,I
1353803,2,146363,529033,5,774.5,0.2,01/01/2014 00:00,31/12/2014 23:59,I
1353811,2,146363,529033,5,774.95,0.2,01/01/2014 00:00,31/12/2014 23:59,I
1353812,2,146363,529033,5,775.45,0.2,01/01/2014 00:00,31/12/2014 23:59,I
1353813,2,146363,529033,5,776,0.2,01/01/2014 00:00,31/12/2014 23:59,I
1353814,2,146363,529033,5,776.6,0.2,01/01/2014 00:00,31/12/2014 23:59,I
1353815,2,146363,529033,5,777.25,0.2,01/01/2014 00:00,31/12/2014 23:59,I
1353816,2,146363,529033,5,778,0.2,01/01/2014 00:00,31/12/2014 23:59,I
1353817,2,146363,529033,5,778.8,0.2,01/01/2014 00:00,31/12/2014 23:59,I
1353818,2,146363,529033,5,779.7,0.2,01/01/2014 00:00,31/12/2014 23:59,I
1353819,2,146363,529033,5,781.45,0.2,01/01/2014 00:00,31/12/2014 23:59,I
1353820,2,146363,529033,5,782.55,0.2,01/01/2014 00:00,31/12/2014 23:59,I
1353821,2,146363,529033,5,784.15,0.2,01/01/2014 00:00,31/12/2014 23:59,I
1353822,2,146363,529033,5,786.1,0.2,01/01/2014 00:00,31/12/2014 23:59,I
1353823,2,146363,529033,5,787.55,0.2,01/01/2014 00:00,31/12/2014 23:59,I
1353824,2,146363,529033,5,788.25,0.2,01/01/2014 00:00,31/12/2014 23:59,I
1265804,2,382990,397929,5,589.75,0.2,09/05/2013 00:00,08/05/2014 23:59,E
1265805,2,382990,397929,5,758.125,0.2,09/05/2013 00:00,08/05/2014 23:59,E
1265810,2,382990,397929,5,758.625,0.2,09/05/2013 00:00,08/05/2014 23:59,E
1265811,2,382990,397929,5,759.5,0.2,09/05/2013 00:00,08/05/2014 23:59,E
1265812,2,382990,397929,5,760.125,0.2,09/05/2013 00:00,08/05/2014 23:59,E
1265817,2,382990,397929,5,526.15,0.2,09/05/2013 00:00,08/05/2014 23:59,E
1265818,2,382990,397929,5,582.65,0.2,09/05/2013 00:00,08/05/2014 23:59,E
1265819,2,382990,397929,5,583.5,0.2,09/05/2013 00:00,08/05/2014 23:59,E
1265820,2,382990,397929,5,526.65,0.2,09/05/2013 00:00,08/05/2014 23:59,E
1265821,2,382990,397929,5,584.15,0.2,09/05/2013 00:00,08/05/2014 23:59,E
1265822,2,382990,397929,5,585.25,0.2,09/05/2013 00:00,08/05/2014 23:59,E
1265823,2,382990,397929,5,586.5,0.2,09/05/2013 00:00,08/05/2014 23:59,E
1265824,2,382990,397929,5,527.5,0.2,09/05/2013 00:00,08/05/2014 23:59,E
1265825,2,382990,397929,5,528.15,0.2,09/05/2013 00:00,08/05/2014 23:59,E
1265826,2,382990,397929,5,529.25,0.2,09/05/2013 00:00,08/05/2014 23:59,E
1265827,2,382990,397929,5,729.95,0.2,09/05/2013 00:00,08/05/2014 23:59,I
1265828,2,382990,397929,5,731.175,0.2,09/05/2013 00:00,08/05/2014 23:59,I
1265829,2,382990,397929,5,731.4,0.2,09/05/2013 00:00,08/05/2014 23:59,I
1265831,2,382990,397929,5,775.75,0.2,09/05/2013 00:00,08/05/2014 23:59,I
1265832,2,382990,397929,5,777.75,0.2,09/05/2013 00:00,08/05/2014 23:59,I
1265833,2,382990,397929,5,778.5,0.2,09/05/2013 00:00,08/05/2014 23:59,I
1265834,2,382990,397929,5,779.5,0.2,09/05/2013 00:00,08/05/2014 23:59,I
1265835,2,382990,397929,5,780.25,0.2,09/05/2013 00:00,08/05/2014 23:59,I
1265836,2,382990,397929,5,783.75,0.2,09/05/2013 00:00,08/05/2014 23:59,I
1265839,2,382990,397929,5,582.15,0.2,09/05/2013 00:00,08/05/2014 23:59,E
1265859,2,382990,397929,5,726.9,0.2,09/05/2013 00:00,08/05/2014 23:59,I
1265860,2,382990,397929,5,727.275,0.2,09/05/2013 00:00,08/05/2014 23:59,I
1265861,2,382990,397929,5,727.9,0.2,09/05/2013 00:00,08/05/2014 23:59,I
1265862,2,382990,397929,5,728.175,0.2,09/05/2013 00:00,08/05/2014 23:59,I
1265863,2,382990,397929,5,729.625,0.2,09/05/2013 00:00,08/05/2014 23:59,I
1387948,64,386800,398500,5,647.2,0.2,15/01/2014 12:00,15/01/2014 23:59,E
1390811,64,419110,283420,5,634.675,0.2,13/01/2014 00:00,17/01/2014 23:59,I
1391364,64,427400,542600,5,639,0.2,16/01/2014 08:00,16/01/2014 23:59,I
1390812,64,419110,283420,5,635.775,0.2,13/01/2014 00:00,17/01/2014 23:59,I
1390813,64,419110,283420,5,637.45,0.2,13/01/2014 00:00,17/01/2014 23:59,I
1390814,64,419110,283420,5,655.35,0.2,13/01/2014 00:00,17/01/2014 23:59,I
1390815,64,419110,283420,5,656.125,0.2,13/01/2014 00:00,17/01/2014 23:59,I
1390816,64,419110,283420,5,659.3,0.2,13/01/2014 00:00,17/01/2014 23:59,I
1390817,64,419110,283420,5,659.8,0.2,13/01/2014 00:00,17/01/2014 23:59,I
1390818,64,419110,283420,5,661.875,0.2,13/01/2014 00:00,17/01/2014 23:59,I
1389370,64,405850,286850,5,734.375,0.2,14/01/2014 00:00,19/01/2014 23:59,I
1389371,64,405850,286850,5,736,0.2,14/01/2014 00:00,19/01/2014 23:59,I
1389372,64,405850,286850,5,740.65,0.2,14/01/2014 00:00,19/01/2014 23:59,I
1389373,64,405850,286850,5,743.9,0.2,14/01/2014 00:00,19/01/2014 23:59,I
1389374,64,405850,286850,5,747.675,0.2,14/01/2014 00:00,19/01/2014 23:59,I
1389375,64,405850,286850,5,749.5,0.2,14/01/2014 00:00,19/01/2014 23:59,I
1390809,64,419110,283420,5,630.475,0.2,13/01/2014 00:00,17/01/2014 23:59,I
1390810,64,419110,283420,5,632.35,0.2,13/01/2014 00:00,17/01/2014 23:59,I
1389098,64,439200,556900,5,760.1,0.2,14/01/2014 12:15,01/02/2014 23:59,I
1391589,64,527313,177153,5,639,0.2,15/01/2014 09:30,15/01/2014 23:59,I
1388111,64,529573,190027,5,552.4,0.2,11/01/2014 07:00,19/01/2014 23:59,I
1388110,64,529573,190027,5,551.4,0.2,11/01/2014 07:00,19/01/2014 23:59,I
1388109,64,529573,190027,5,521.2,0.2,11/01/2014 07:00,19/01/2014 23:59,I
1388108,64,529573,190027,5,520.6,0.2,11/01/2014 07:00,19/01/2014 23:59,I
1390803,64,539130,180100,5,518.5,0.2,15/01/2014 00:00,16/01/2014 23:59,I
1390804,64,539130,180100,5,520.6,0.2,15/01/2014 00:00,16/01/2014 23:59,I
1391106,64,539130,180100,5,745.8,0.2,15/01/2014 07:00,16/01/2014 23:59,E
1391107,64,539130,180100,5,746.8,0.2,15/01/2014 07:00,16/01/2014 23:59,E
1391108,64,539130,180100,5,748.2,0.2,15/01/2014 07:00,16/01/2014 23:59,E
1278107,1,511000,172500,5,473.65,0.2,07/06/2013 00:00,06/06/2014 23:59,I
1318888,1,521000,179800,5,473.4,0.0125,01/09/2013 00:00,31/08/2014 23:59,I
1318889,1,521000,179800,5,473.775,0.0125,01/09/2013 00:00,31/08/2014 23:59,I
1318890,1,521000,179800,5,474.1,0.0125,01/09/2013 00:00,31/08/2014 23:59,I
1318891,1,521000,179800,5,474.6,0.0125,01/09/2013 00:00,31/08/2014 23:59,I
1318892,1,521000,179800,5,475,0.0125,01/09/2013 00:00,31/08/2014 23:59,I
1354695,1,361001,171500,5,754.25,0.1,01/01/2014 00:00,31/12/2014 23:59,I
1374301,1,528879,181608,5,745.4,0.025,01/01/2014 00:00,31/12/2014 23:59,I
1374309,1,528879,181608,5,681,0.025,01/01/2014 00:00,31/12/2014 23:59,I
1374310,1,528879,181608,5,681.575,0.025,01/01/2014 00:00,31/12/2014 23:59,I
1374311,1,528879,181608,5,682.1,0.025,01/01/2014 00:00,31/12/2014 23:59,I
1374312,1,528879,181608,5,682.4875,0.025,01/01/2014 00:00,31/12/2014 23:59,I
1374313,1,528879,181608,5,745.1,0.025,01/01/2014 00:00,31/12/2014 23:59,I
1249137,1,507979,179944,5,494.84375,0.0125,01/03/2013 00:00,28/02/2014 23:59,I
1249126,1,507979,179944,5,474.03125,0.0125,01/03/2013 00:00,28/02/2014 23:59,I
1249127,1,507979,179944,5,474.09375,0.0125,01/03/2013 00:00,28/02/2014 23:59,I
1249128,1,507979,179944,5,474.14375,0.0125,01/03/2013 00:00,28/02/2014 23:59,I
1249129,1,507979,179944,5,474.21875,0.0125,01/03/2013 00:00,28/02/2014 23:59,I
1249130,1,507979,179944,5,474.31875,0.0125,01/03/2013 00:00,28/02/2014 23:59,I
1249131,1,507979,179944,5,474.45625,0.0125,01/03/2013 00:00,28/02/2014 23:59,I
1249132,1,507979,179944,5,494.03125,0.0125,01/03/2013 00:00,28/02/2014 23:59,I
1249133,1,507979,179944,5,494.11875,0.0125,01/03/2013 00:00,28/02/2014 23:59,I
1249134,1,507979,179944,5,494.11875,0.0125,01/03/2013 00:00,28/02/2014 23:59,I
1249135,1,507979,179944,5,494.28125,0.0125,01/03/2013 00:00,28/02/2014 23:59,I
1249136,1,507979,179944,5,494.69375,0.0125,01/03/2013 00:00,28/02/2014 23:59,I
1318932,1,507979,179944,5,494.41875,0.0125,15/07/2013 00:00,28/02/2014 23:59,I
1276198,1,380200,397400,5,470.01875,0.0125,01/06/2013 00:00,31/05/2014 23:59,I
1276199,1,380200,397400,5,470.04375,0.0125,01/06/2013 00:00,31/05/2014 23:59,I
1276200,1,380200,397400,5,470.08125,0.0125,01/06/2013 00:00,31/05/2014 23:59,I
1276201,1,380200,397400,5,470.13125,0.0125,01/06/2013 00:00,31/05/2014 23:59,I
1276202,1,380200,397400,5,470.20625,0.0125,01/06/2013 00:00,31/05/2014 23:59,I
1276203,1,380200,397400,5,470.50625,0.0125,01/06/2013 00:00,31/05/2014 23:59,I
1276204,1,380200,397400,5,474.00625,0.0125,01/06/2013 00:00,31/05/2014 23:59,I
1276205,1,380200,397400,5,474.03125,0.0125,01/06/2013 00:00,31/05/2014 23:59,I
1276206,1,380200,397400,5,474.06875,0.0125,01/06/2013 00:00,31/05/2014 23:59,I
1276207,1,380200,397400,5,474.11875,0.0125,01/06/2013 00:00,31/05/2014 23:59,I
1276208,1,380200,397400,5,474.19375,0.0125,01/06/2013 00:00,31/05/2014 23:59,I
