Unique_ID,Request_type,Start_time,Longitude,Latitude,Antenna_Height,AGL_ASL,Longitude_uncertainty,Latitude_uncertainty,Emission_class,Device_category,Device_type,PREFSENS,MaxMasterEIRP,,,,
542,Specific,01/01/2013 00:01,-0.095241,51.508235,1.1,ASL,0,0,3,Slave,B,,,,,,
543,Specific,01/01/2013 00:01,-0.095241,51.508235,5.5,ASL,0,0,3,Slave,B,,,,,,
544,Specific,01/01/2013 00:01,-0.095241,51.508235,7.5,ASL,0,0,3,Slave,B,,,,,,
545,Specific,01/01/2013 00:01,-0.095241,51.508235,9.7,ASL,0,0,3,Slave,B,,,,,,
546,Specific,01/01/2013 00:01,-0.095241,51.508235,20,ASL,0,0,3,Slave,B,,,,,,
547,Specific,01/01/2013 00:01,-0.095241,51.508235,30,ASL,0,0,3,Slave,B,,,,,,
548,Specific,01/01/2013 00:01,-0.095241,51.508235,,ASL,0,0,3,Slave,B,,,,,,
549,Specific,01/01/2013 00:01,-0.095241,51.508235,1.1,AGL,0,0,3,Slave,B,,,,,,
550,Specific,01/01/2013 00:01,-0.095241,51.508235,5.5,AGL,0,0,3,Slave,B,,,,,,
551,Specific,01/01/2013 00:01,-0.095241,51.508235,7.5,AGL,0,0,3,Slave,B,,,,,,
552,Specific,01/01/2013 00:01,-0.095241,51.508235,9.7,AGL,0,0,3,Slave,B,,,,,,
553,Specific,01/01/2013 00:01,-0.095241,51.508235,20,AGL,0,0,3,Slave,B,,,,,,
554,Specific,01/01/2013 00:01,-0.095241,51.508235,30,AGL,0,0,3,Slave,B,,,,,,
555,Specific,01/01/2013 00:01,-0.095241,51.508235,,AGL,0,0,3,Slave,B,,,,,,
556,Specific,01/01/2013 00:01,-0.095241,51.508235,3,AGL,0,0,3,Master,A,,,,,,
557,Specific,01/01/2013 00:01,-0.095241,51.508235,3,AGL,5,5,3,Master,A,,,,,,
558,Specific,01/01/2013 00:01,-0.095241,51.508235,3,AGL,10,10,3,Master,A,,,,,,
559,Specific,01/01/2013 00:01,-0.095241,51.508235,3,AGL,15,15,3,Master,A,,,,,,
560,Specific,01/01/2013 00:01,-0.095241,51.508235,3,AGL,20,20,3,Master,A,,,,,,
561,Specific,01/01/2013 00:01,-0.095241,51.508235,3,AGL,50,50,3,Master,A,,,,,,
562,Specific,01/01/2013 00:01,-0.095241,51.508235,3,AGL,100,100,3,Master,A,,,,,,
563,Specific,01/01/2013 00:01,-0.095241,51.508235,3,AGL,500,500,3,Master,A,,,,,,
564,Specific,01/01/2013 00:01,-0.095241,51.508235,3,AGL,10,100,3,Master,A,,,,,,
565,Specific,01/01/2013 00:01,-0.095241,51.508235,3,AGL,100,10,3,Master,A,,,,,,
566,Specific,31/12/2012 23:59,-0.095241,51.508235,3,AGL,0,0,1,Master,A,,,,,,
567,Specific,01/01/2013 00:00,-0.095241,51.508235,3,AGL,0,0,1,Master,A,,,,,,
568,Specific,01/01/2013 10:30,-0.095241,51.508235,3,AGL,0,0,1,Master,A,,,,,,
569,Specific,01/01/2013 22:48,-0.095241,51.508235,3,AGL,0,0,1,Master,A,,,,,,
570,Specific,02/11/2013 00:01,-0.095241,51.508235,3,AGL,0,0,1,Master,A,,,,,,
