Assignment_ID,EquipmentType_ID,X_Coord,Y_Coord,Antenna_Height_metres,Frequency_MHz,Bandwidth_MHz,Start,Finish,Situation_ID
50001,1,350000,150000,10,474,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50002,1,350000,200000,10,498,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50003,1,350000,250000,10,530,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50004,1,350000,300000,10,562,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50005,1,350000,350000,10,594,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50006,1,350000,400000,10,626,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50007,1,350000,450000,10,658,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50008,1,350000,500000,10,690,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50009,1,400000,150000,10,722,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50010,1,400000,200000,10,754,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50011,1,400000,250000,10,786,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50012,1,400000,300000,10,509,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50013,1,400000,350000,10,509,0.2,01/01/2013 00:00,01/01/2013 22:48,I
50014,1,400000,400000,10,509,8,01/01/2013 00:00,01/01/2013 22:48,I
50015,1,400000,450000,10,745.5,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50016,2,450000,150000,10,745.5,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50017,64,450000,200000,10,745.5,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50018,2,450000,250000,10,730,0.0125,01/01/2013 00:00,01/01/2013 22:48,E
50019,2,450000,300000,10,730,0.0125,01/01/2013 00:00,01/01/2013 22:48,A
50020,2,450000,350000,10,730,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50021,64,450000,400000,,554,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50022,64,450000,450000,2,554,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50023,64,500000,150000,10,554,0.0125,01/01/2013 00:00,01/01/2013 22:48,I
50024,1,500000,200000,1,730,0.02,01/01/2013 00:00,01/01/2013 22:48,I
50025,1,500000,250000,1,730,0.025,01/01/2013 00:00,01/01/2013 22:48,I
50026,1,500000,300000,1,730,0.1,01/01/2013 00:00,01/01/2013 22:48,I
50027,1,500000,350000,1,730,0.2,01/01/2013 00:00,01/01/2013 22:48,I
50028,1,500000,400000,1,730,0.5,01/01/2013 00:00,01/01/2013 22:48,I
50029,1,500000,450000,1,730,1,01/01/2013 00:00,01/01/2013 22:48,I
