Unique_ID,Request_type,Start_time,Longitude,Latitude,Antenna_Height,AGLorASL,Longitude_uncertainty,Latitude_uncertainty,Emission_class,Device_category,Device_type,PREFSENS,MaxP0_Master
2007,Specific,01/01/2013 00:01,-0.07505,51.486044,10,AGL,0,0,5,Master,A,,
2008,Specific,01/01/2013 00:01,-0.088101,51.492552,10,AGL,0,0,5,Master,A,,
2009,Specific,01/01/2013 00:01,-0.008295,51.365099,10,AGL,0,0,5,Master,A,,
2010,Specific,01/01/2013 00:01,-0.087804,51.48243,10,AGL,0,0,5,Master,A,,
2011,Specific,01/01/2013 00:01,0.113953,51.52393,10,AGL,0,0,5,Master,A,,
2012,Specific,01/01/2013 00:01,0.057356,51.387571,10,AGL,0,0,5,Master,A,,
2013,Specific,01/01/2013 00:01,-0.188243,51.255385,10,AGL,0,0,5,Master,A,,
2014,Specific,01/01/2013 00:01,0.281386,51.434233,10,AGL,0,0,5,Master,A,,
2015,Specific,01/01/2013 00:01,0.229839,52.49522,10,AGL,0,0,5,Master,A,,
2016,Specific,01/01/2013 00:01,-0.184026,51.625143,10,AGL,0,0,5,Master,A,,
2017,Specific,01/01/2013 00:01,0.154027,51.624597,10,AGL,0,0,5,Master,A,,
2018,Specific,01/01/2013 00:01,-0.236316,52.50691,10,AGL,0,0,5,Master,A,,
2019,Specific,01/01/2013 00:01,-0.050762,51.464509,10,AGL,0,0,5,Master,A,,
2020,Specific,01/01/2013 00:01,-0.121046,51.505899,10,AGL,0,0,5,Master,A,,
2021,Specific,01/01/2013 00:01,-0.109311,51.510881,10,AGL,0,0,5,Master,A,,
2022,Specific,01/01/2013 00:01,-1.65313,50.734289,10,AGL,0,0,5,Master,A,,
2023,Specific,01/01/2013 00:01,0.236822,51.457126,10,AGL,0,0,5,Master,A,,
2024,Specific,01/01/2013 00:01,0.665843,51.414427,10,AGL,0,0,5,Master,A,,
2025,Specific,01/01/2013 00:01,0.112561,51.517211,10,AGL,0,0,5,Master,A,,
2026,Specific,01/01/2013 00:01,0.140001,51.510643,10,AGL,0,0,5,Master,A,,
2027,Specific,01/01/2013 00:01,-0.109302,51.511106,10,AGL,0,0,5,Master,A,,
2028,Specific,01/01/2013 00:01,-0.109293,51.511331,10,AGL,0,0,5,Master,A,,
2029,Generic,01/01/2013 00:01,-0.07505,51.486044,10,AGL,0,0,5,Master,A,,
2030,Generic,01/01/2013 00:01,-0.088101,51.492552,10,AGL,0,0,5,Master,A,,
2031,Generic,01/01/2013 00:01,-0.008295,51.365099,10,AGL,0,0,5,Master,A,,
2032,Generic,01/01/2013 00:01,-0.087804,51.48243,10,AGL,0,0,5,Master,A,,
2033,Generic,01/01/2013 00:01,0.113953,51.52393,10,AGL,0,0,5,Master,A,,
2034,Generic,01/01/2013 00:01,0.057356,51.387571,10,AGL,0,0,5,Master,A,,
2035,Generic,01/01/2013 00:01,-0.188243,51.255385,10,AGL,0,0,5,Master,A,,
2036,Generic,01/01/2013 00:01,0.281386,51.434233,10,AGL,0,0,5,Master,A,,
2037,Generic,01/01/2013 00:01,0.229839,52.49522,10,AGL,0,0,5,Master,A,,
2038,Generic,01/01/2013 00:01,-0.184026,51.625143,10,AGL,0,0,5,Master,A,,
2039,Generic,01/01/2013 00:01,0.154027,51.624597,10,AGL,0,0,5,Master,A,,
2040,Generic,01/01/2013 00:01,-0.236316,52.50691,10,AGL,0,0,5,Master,A,,
2041,Generic,01/01/2013 00:01,-0.050762,51.464509,10,AGL,0,0,5,Master,A,,
2042,Generic,01/01/2013 00:01,-0.121046,51.505899,10,AGL,0,0,5,Master,A,,
2043,Generic,01/01/2013 00:01,-0.109311,51.510881,10,AGL,0,0,5,Master,A,,
2044,Generic,01/01/2013 00:01,-1.65313,50.734289,10,AGL,0,0,5,Master,A,,
2045,Generic,01/01/2013 00:01,0.236822,51.457126,10,AGL,0,0,5,Master,A,,
2046,Generic,01/01/2013 00:01,0.665843,51.414427,10,AGL,0,0,5,Master,A,,
2047,Generic,01/01/2013 00:01,0.112561,51.517211,10,AGL,0,0,5,Master,A,,
2048,Generic,01/01/2013 00:01,0.140001,51.510643,10,AGL,0,0,5,Master,A,,
2049,Generic,01/01/2013 00:01,-0.109302,51.511106,10,AGL,0,0,5,Master,A,,
2050,Generic,01/01/2013 00:01,-0.109293,51.511331,10,AGL,0,0,5,Master,A,,
